Doctor_Name,Specialization,Experience,Hospital_Name,City,City_Tier,Patient_Rating(%),Source,Consultation_Fee(₹)
Dr. B Vijayasree,Dermatologist,19,Medicover Hospitals ,Hyderabad,Metro,100.0,Practo,600
Dr. Ponnada Silpa,Dermatologist,12,Chiranjeevi Hospitals,Hyderabad,Metro,73.0,Practo,600
Dr. Shravya Rimmalapudi,Dermatologist,7,"Linaé Skin, Hair and Aesthetic Clinic",Hyderabad,Metro,100.0,Practo,1000
Dr. Asad Ansari,Dermatologist,15,HairMate Clinic,Kolkata,Metro,63.0,Practo,1200
Dr. Reeja Mariam George,Dermatologist,18,Oliva Skin & Hair Clinic,Kolkata,Metro,98.0,Practo,900
Dr. Debatri Datta,Dermatologist,11,Oliva Skin & Hair Clinic,Kolkata,Metro,96.0,Practo,900
Dr. Barnali Dutta,Dermatologist,30,Oliva Skin & Hair Clinic,Kolkata,Metro,94.0,Practo,900
Dr. Avik Ghosh,Dermatologist,12,Oliva Skin & Hair Clinic,Kolkata,Metro,95.0,Practo,900
Dr. Archana Bhowmik,Dermatologist,13,Oliva Skin & Hair Clinic,Kolkata,Metro,96.0,Practo,900
Dr. Rajendrani Mazumder,Dermatologist,10,Oliva Skin & Hair Clinic,Kolkata,Metro,95.0,Practo,900
Dr. Rajib Roy,Dermatologist,21,Oliva Skin & Hair Clinic,Kolkata,Metro,98.0,Practo,900
Dr. Shayeri Banerjee,Dermatologist,9,Oliva Skin & Hair Clinic,Kolkata,Metro,100.0,Practo,900
Dr. Shriya Saha,Dermatologist,7,Oliva Skin & Hair Clinic,Kolkata,Metro,100.0,Practo,900
Dr. Senthil Sivaprakasam,Dermatologist,21,Radiance Skin And Hair Care,Chennai,Metro,97.0,Practo,1000
Dr. Rajeshwari,Dermatologist,23,Dr.Rajeshwari's Skin & Hair Care Private Limited,Chennai,Metro,72.0,Practo,1000
Dr. Divya Vijayaraghavan,Dermatologist,21,VS Hospitals,Chennai,Metro,72.0,Practo,800
Dr. B.Sindhu Raaghavi,Dermatologist,12,Dr. Sindhu's Skin Clinic ,Chennai,Metro,97.0,Practo,1200
Dr. Aftab Matheen,Dermatologist,35,Prime Indian Hospitals,Chennai,Metro,78.0,Practo,800
Dr. S Deepika,Dermatologist,6,Dr.Rajeshwari's Skin & Hair Care Private Limited,Chennai,Metro,100.0,Practo,650
Dr. K Uma Maheswari,Dermatologist,24,Shreya Medical Centre,Chennai,Metro,94.0,Practo,1000
Dr. Narayanan A,Dermatologist,12,SRM Prime Hospital,Chennai,Metro,98.0,Practo,750
Dr. Divya K R,Dermatologist,22,Billroth Hospitals,Chennai,Metro,100.0,Practo,700
Dr. Jyothsna,Dermatologist,20,Curves Clinic,Chennai,Metro,95.0,Practo,800
Dr. Amit Bhasin,Dermatologist,17,Prive Luxe Skin and Wellness,Delhi,Metro,91.0,Practo,1200
Dr. Mudasir Khan,Dermatologist,32,Lush Skin and Hair Clinic,Delhi,Metro,93.0,Practo,900
Dr. Aamir Siddiqui,Dermatologist,18,Dr. Siddiqui's Skin Clinic,Delhi,Metro,96.0,Practo,1200
Dr. Rakesh,Dermatologist,15,Rakshaa Aesthetics,Delhi,Metro,93.0,Practo,1500
Dr. Deepali Bhardwaj,Dermatologist,20,Centre For Skin and Hair Pvt Ltd,Delhi,Metro,88.0,Practo,1700
Dr. Chanchal Choudhary,Dermatologist,22,La Fameux Derma Skin And Hair Clinic,Delhi,Metro,90.0,Practo,800
Dr. Sunakshi Singh,Dermatologist,17,Advance Dermatology  &  Hair Transplant Clinic,Delhi,Metro,91.0,Practo,1000
Dr. Prateek Sondhi,Dermatologist,17,Derma Circles: Doctors from AIIMS,Delhi,Metro,96.0,Practo,1200
Dr. Amrendra kumar,Dermatologist,19,Dermaclinix,Delhi,Metro,93.0,Practo,2000
Dr. Payal Gupta,Dermatologist,30,Skin and Bones Clinic,Delhi,Metro,97.0,Practo,1000
Dr. Parthasarathi Dutta Roy,Dermatologist,23,Dr. Partha Sarathi's Asian Hair And Skin Hospitals,Bangalore,Metro,88.0,Practo,900
Dr. Sanjay S Desai,Dermatologist,18,Dr. Desai Skin and Hair Clinic,Bangalore,Metro,94.0,Practo,600
Dr. Sheelavathi Natraj,Dermatologist,22,Sapphire Skin and Aesthetics Clinic,Bangalore,Metro,94.0,Practo,900
Dr. Savitha A S,Dermatologist,20,Calyx Skin Lab,Bangalore,Metro,91.0,Practo,900
Dr. Harish Prasad B.R,Dermatologist,19,Vitals Skin and hair clinic,Bangalore,Metro,95.0,Practo,1000
Dr. Neha Gupta,Dermatologist,25,DYU Aesthetics,Bangalore,Metro,89.0,Practo,1000
Dr. Yogeesh H R,Dermatologist,33,Akshatha Skin And Hair Care Centre,Bangalore,Metro,95.0,Practo,800
Dr. Chandrashekara Aithal,Dermatologist,36,Marigold Hospital,Bangalore,Metro,83.0,Practo,600
Dr. Rajesh H N,Dermatologist,15,Koshys Hospital,Bangalore,Metro,95.0,Practo,650
Dr. Belliappa P R,Dermatologist,26,Greenview Medical Center,Bangalore,Metro,95.0,Practo,1000
Dr. Pallavi Rathi,Dermatologist,22,My Skin My Health,Mumbai,Metro,89.0,Practo,1500
Dr. Vaidehi Saigaonkar Newaskar,Dermatologist,16,Krasa Skin and Hair Clinic,Mumbai,Metro,99.0,Practo,1500
Dr. Bharti  Patel,Dermatologist,21,Bella Skin & Hair Clinic,Mumbai,Metro,94.0,Practo,1500
Dr. Amit Gulati,Dermatologist,19,Akira Skin And Hair Clinic,Mumbai,Metro,99.0,Practo,1200
Dr. Kshama P Vibhakar,Dermatologist,23,Skin 'N' Sculpt,Mumbai,Metro,94.0,Practo,1500
Dr. Agarkar Amit Suresh,Dermatologist,21,V Plant Advance Hair Clinic,Mumbai,Metro,92.0,Practo,600
Dr. Sonia Tekchandani,Dermatologist,40,Tender Skin International,Mumbai,Metro,94.0,Practo,1500
Dr. Raina Nahar,Dermatologist,18,Kaizen Skin Clinic,Mumbai,Metro,91.0,Practo,1200
Dr. Kiran Katkar,Dermatologist,41,Dr. Kiran Katkar's Dermis Skin Wellness Clinic Laser & Cosmetic Centre,Mumbai,Metro,93.0,Practo,1500
Dr. Gayatri Bharadwaj,Dermatologist,36,Dr. Gayatri's Skin Clinic,Mumbai,Metro,84.0,Practo,1500
Dr. Nivedita Kakkad,Dermatologist,12,SkinLab by Dr. Jamuna Pai,Ahmedabad,Non-Metro,77.0,Practo,750
Dr. Rupa Tejas Shah,Dermatologist,34,Silk Skin Laser Cosmetology Clinic,Ahmedabad,Non-Metro,96.0,Practo,1000
Dr. Meeta Desai,Dermatologist,25,The Skin Sense,Ahmedabad,Non-Metro,98.0,Practo,1000
Dr. Hiral Dineshbhai Patel,Dermatologist,10,Oliva Skin And Hair Clinic,Ahmedabad,Non-Metro,100.0,Practo,900
Dr. Anshul Warman,Dermatologist,24,Apollo Hospital,Ahmedabad,Non-Metro,90.0,Practo,1000
Dr. Sindhu Priti Mahavirsingh,Dermatologist,7,Oliva Skin And Hair Clinic,Ahmedabad,Non-Metro,100.0,Practo,900
Dr. Hiren N Patel,Dermatologist,23,Shreeji  Skin Care Clinic,Ahmedabad,Non-Metro,98.0,Practo,500
Dr. Foram Pathak,Dermatologist,6,Dermacare ,Ahmedabad,Non-Metro,100.0,Practo,800
Dr. Pooja Chowdhary,Dermatologist,18,Twachaa Skin & Cosmetic Clinic,Ahmedabad,Non-Metro,98.0,Practo,400
Dr. Shruti Patel,Dermatologist,19,Elegance Skin And Cosmetic Clinic,Ahmedabad,Non-Metro,98.0,Practo,600
Dr. Suruchi Garg,Dermatologist,27,Aura Skin Institute,Chandigarh,Non-Metro,94.0,Practo,800
Dr. Naiya Bansal,Dermatologist,17,Dr. Naiya Bansal's Skin and Laser Clinic,Chandigarh,Non-Metro,92.0,Practo,600
Dr. Priyanka Prakash,Dermatologist,19,Sparsh Skin Clinic,Chandigarh,Non-Metro,98.0,Practo,700
Dr. Mohit Dhawan,Dermatologist,25,"Renovin Skin, Hair and Laser Clinic",Chandigarh,Non-Metro,93.0,Practo,700
Dr. Geeta Garg,Dermatologist,27,Dr. Geeta Garg's Skin Clinic,Chandigarh,Non-Metro,98.0,Practo,600
Dr. Manjit Kaur,Dermatologist,19,"Aesthese (Skin, Hair And Laser Clinic)",Chandigarh,Non-Metro,100.0,Practo,600
Dr. Ashima Goel,Dermatologist,22,Parisa Skin Cosmetic And Laser Centre,Chandigarh,Non-Metro,94.0,Practo,1000
Dr. Harmandeep Sidhu,Dermatologist,19,"Athena Skin, Hair And Laser Clinic",Chandigarh,Non-Metro,96.0,Practo,700
Dr. Sanchit Talwar,Dermatologist,19,"Dr Talwar's Skin, Laser, Hair & Cosmetology Centre",Chandigarh,Non-Metro,90.0,Practo,400
Dr. Neetika Paul,Dermatologist,18,Skin And Sculpt Cosmetic/Laser/Hair/Skin/Nail Clinic,Chandigarh,Non-Metro,93.0,Practo,800
Dr. Abhinav Kumar,Dermatologist,15,The Skin Centre,Patna,Non-Metro,96.0,Practo,500
Dr. Samina Subuhi,Dermatologist,15,Square Root : Hair | Skin | Laser Clinic,Patna,Non-Metro,88.0,Practo,600
Dr. Jyotirmay Bharti,Dermatologist,19,Square Root : Hair | Skin | Laser Clinic,Patna,Non-Metro,90.0,Practo,800
Dr. Punkesh,Dermatologist,14,Advance Skin Hair & Laser Clinic,Patna,Non-Metro,94.0,Practo,500
Dr. Richa Thakur,Dermatologist,18,Ortho & Skin Care Clinic,Patna,Non-Metro,86.0,Practo,400
Dr. Pankaj Tiwary,Dermatologist,17,Dr. Pankaj Tiwari Clinic,Patna,Non-Metro,89.0,Practo,600
Dr. Swati Suman,Dermatologist,11,Medipark Superspeciality Hospital,Patna,Non-Metro,100.0,Practo,300
Dr. S S Eqbal Husain,Dermatologist,55,Skin Clinic & Therapy Center,Patna,Non-Metro,91.0,Practo,1500
Dr. Pushpendra Kumar Singh,Dermatologist,16,Tanishqa Skin Clinic,Patna,Non-Metro,100.0,Practo,300
Dr. Mathura Prasad,Dermatologist,49,Dr.Mathura Prasad Clinic,Patna,Non-Metro,75.0,Practo,400
Dr. Pragati Gogia,Dermatologist,16,Max Super Speciality Hospital,Lucknow,Non-Metro,100.0,Practo,800
Dr. Shafali Yadav,Dermatologist,23,Max Super Speciality Hospital,Lucknow,Non-Metro,95.0,Practo,900
Dr. Suyash Singh Tomar,Dermatologist,10,Dermax Skin Clinic,Lucknow,Non-Metro,98.0,Practo,500
Dr. Riya Gupta,Dermatologist,7,Dermapuritys,Lucknow,Non-Metro,50.0,Practo,500
Dr. Kanchan Srivastava,Dermatologist,24,The Doctor's Arena,Lucknow,Non-Metro,92.0,Practo,500
Dr. Ratan Kumar Singh,Dermatologist,46,Suruchi Dermatalogy & Std Clinic,Lucknow,Non-Metro,91.0,Practo,1000
Dr. Ajay Kumar Rai,Dermatologist,14,Indra Skin Clinic,Lucknow,Non-Metro,98.0,Practo,500
Dr. Sumit Gupta,Dermatologist,19,Dr. Gupta's Skin and Hair Hospital,Lucknow,Non-Metro,88.0,Practo,0
Dr. Ali Mohammad Abdi,Dermatologist,11,Shafia Skin And Hair Clinic,Lucknow,Non-Metro,100.0,Practo,500
Dr. Abhishek Pilani,Dermatologist,16,Assure,Lucknow,Non-Metro,97.0,Practo,0
Dr. L K Desai,Dermatologist,31,Dr. Desai Dermacare,Pune,Non-Metro,93.0,Practo,700
Dr. Mohan Nalawade,Dermatologist,26,PURE SKIN,Pune,Non-Metro,92.0,Practo,700
Dr. Rangoli Jirwankar,Dermatologist,11,Dr Rangoli's Skin Hair and Laser Clinic,Pune,Non-Metro,97.0,Practo,1000
Dr. Renu Jadhav,Dermatologist,20,Resolute Care,Pune,Non-Metro,89.0,Practo,700
Dr. Avinash Urmil,Dermatologist,36,Ruby Hall Clinic,Pune,Non-Metro,75.0,Practo,700
Dr. Amit Pal,Dermatologist,7,The Skin Doctors,Pune,Non-Metro,97.0,Practo,600
Dr. Satywan Chaure,Dermatologist,21,SKIN CENTRAL ,Pune,Non-Metro,85.0,Practo,700
Dr. Anupama,Dermatologist,9,The Skin Doctors,Pune,Non-Metro,100.0,Practo,600
Dr. Sanvedana M Danej,Dermatologist,17,Dr Danej Heart Clinic & DermaSure Skin Aesthetics,Pune,Non-Metro,92.0,Practo,800
Dr. Vijay Nagdev,Dermatologist,16,The Skin Doctors,Pune,Non-Metro,92.0,Practo,1200
Dr. Tankala Rajkamal,Dermatologist,28,Care Hospital,Visakhapatnam,Non-Metro,100.0,Practo,650
Dr. Sasi Kiran Attili,Dermatologist,22,Visakha Institute of Skin and Allergy,Visakhapatnam,Non-Metro,98.0,Practo,1200
Dr. K.Venkata Chalam,Dermatologist,30,"Sri Gayatri Skin Care, Laser Clinic & Hair Transplant Centre",Visakhapatnam,Non-Metro,98.0,Practo,700
Dr. K.V.T.Gopal,Dermatologist,24,Skin Care Clinic,Visakhapatnam,Non-Metro,97.0,Practo,600
Dr. R Siri Sandhya Lakshmi,Dermatologist,9,OIiva Skin and Hair Clinic,Visakhapatnam,Non-Metro,100.0,Practo,900
Dr. Kathyayani A,Dermatologist,14,Skin Studio,Visakhapatnam,Non-Metro,98.0,Practo,400
Dr. Gopi Chand Dadithota,Dermatologist,25,Apollo Clinic,Visakhapatnam,Non-Metro,78.0,Practo,650
Dr. Swetha Penmetsa,Dermatologist,12,Apollo Healthcity Hospital,Visakhapatnam,Non-Metro,100.0,Practo,400
Dr. Sravanthi Alluri,Dermatologist,13,Novaskin Clinic,Visakhapatnam,Non-Metro,93.0,Practo,600
Dr. Shivani Chalumuru,Dermatologist,6,OIiva Skin and Hair Clinic,Visakhapatnam,Non-Metro,100.0,Practo,900
Dr. Padma,ENT,36,Srikara Hospitals,Hyderabad,Metro,93.0,Practo,800
Dr. Sushmitha,ENT,31,Aster Prime Hospital,Hyderabad,Metro,95.0,Practo,600
Dr. Hemanth Kumar .B,ENT,25,"Renova Hospital, Langar House",Hyderabad,Metro,88.0,Practo,600
Dr. M.Naveen Kumar,ENT,24,Dr. Deenadayals ENT Care Centre,Hyderabad,Metro,99.0,Practo,800
Dr. Farha Naaz,ENT,15,Premier Hospital,Hyderabad,Metro,95.0,Practo,500
Dr. Greeshma P,ENT,22,Blume Health ,Hyderabad,Metro,93.0,Practo,1000
Dr. Rahul B,ENT,22,Blume Health ,Hyderabad,Metro,94.0,Practo,1000
Dr. N Vishnu Swaroop Reddy,ENT,42,"CARE Hospitals Outpatient Centre, Banjara Hills",Hyderabad,Metro,55.0,Practo,1000
Dr. Anjaneyulu CH,ENT,37,Vivekananda Hospital,Hyderabad,Metro,78.0,Practo,1000
Dr. Santosh Kumar G,ENT,17,Sree Manju Hospitals,Hyderabad,Metro,75.0,Practo,900
Dr. Sunil Jalan,ENT,22,Sl Artemis Medical Centre Pvt Ltd,Kolkata,Metro,98.0,Practo,1500
Dr. Debasish Ghosh,ENT,25,Sl Artemis Medical Centre Pvt Ltd,Kolkata,Metro,100.0,Practo,1500
Dr. Amitava Roy,ENT,18,Samaritan Clinic Private Limited,Kolkata,Metro,100.0,Practo,1500
Dr. Kaushik Das,ENT,37,Techno India Dama Healthcare & Medical Centre,Kolkata,Metro,89.0,Practo,1100
Dr. K.D. Biswas,ENT,20,Samaritan Clinic Private Limited,Kolkata,Metro,95.0,Practo,1500
Dr. Soutrik Kumar,ENT,11,ENT and HNS Clinic,Kolkata,Metro,98.0,Practo,700
Dr. Udayshankar Roy,ENT,7,Baine Hospital,Kolkata,Metro,100.0,Practo,500
Dr. Paroma Mukherjee,ENT,7,Sl Artemis Medical Centre Pvt Ltd,Kolkata,Metro,100.0,Practo,1200
Dr. Ratnadeep Ghosh,ENT,23,Techno India Dama Healthcare & Medical Centre,Kolkata,Metro,73.0,Practo,800
Dr. Subhro Ganguly,ENT,15,Baine Hospital,Kolkata,Metro,100.0,Practo,700
Dr. Shankar.M.N,ENT,39,MGM Healthcare Malar Hospitals,Chennai,Metro,86.0,Practo,800
Dr. J Vinaignan,ENT,26,Sooriya Hospital ,Chennai,Metro,90.0,Practo,800
Dr. Sarrath Rathnaraajan S,ENT,15,Sooriya  Hospital ,Chennai,Metro,95.0,Practo,1000
Dr. M. Venugopal,ENT,20,Noble Hospital,Chennai,Metro,100.0,Practo,700
Dr. Balamurugan,ENT,28,SRM Prime Hospital,Chennai,Metro,100.0,Practo,600
Dr. Ramakrishnan,ENT,16,MGM Healthcare Malar Hospitals,Chennai,Metro,89.0,Practo,800
Dr. R. Shyamala,ENT,40,Chettinad Super Speciality Hospital,Chennai,Metro,83.0,Practo,900
Dr. L Somu,ENT,30,SRM Prime Hospital,Chennai,Metro,78.0,Practo,600
Dr. Ashok Kumar S,ENT,21,Neuro Life Hospital,Chennai,Metro,95.0,Practo,600
Dr. Purushothaman P K,ENT,29,Dr. Rela Institute & Medical Centre,Chennai,Metro,95.0,Practo,600
Dr. Balbir Singh Gandhi,ENT,28,Sukhmani Hospital,Delhi,Metro,93.0,Practo,1500
Dr. (Major) Rajesh Kr. Bhardwaj,ENT,31,Med First ENT Center,Delhi,Metro,97.0,Practo,3000
Dr. Bulbul Gupta,ENT,28,Yatharth Super Speciality Hospital,Delhi,Metro,96.0,Practo,1200
Dr. I C Upreti,ENT,45,Jeewan Hospital Gate No. 1,Delhi,Metro,50.0,Practo,700
Dr. Lalit Mohan Parashar,ENT,42,SSB Multispeciality Hospital,Delhi,Metro,88.0,Practo,1500
Dr. Dhirendra Singh Kushwah,ENT,27,ORL International Hospital,Delhi,Metro,94.0,Practo,1200
Dr. Manju Bansal,ENT,24,Navjeevan Hospital,Delhi,Metro,58.0,Practo,600
Dr. R K Trivedi,ENT,55,Jeewan Mala Hospital,Delhi,Metro,86.0,Practo,1000
Dr. Anil Kumar,ENT,25,Mata Roop Rani Maggo Hospital and IVF Centre,Delhi,Metro,92.0,Practo,800
Dr. Sourav Chakraborty,ENT,16,Artemis Lite,Delhi,Metro,60.0,Practo,1000
Dr. Sharath G,ENT,15,Trilife Hospital,Bangalore,Metro,78.0,Practo,1000
Dr. Pradeep Hosamani,ENT,25,Apollo Hospitals,Bangalore,Metro,89.0,Practo,800
Dr. Prateek Nayak,ENT,22,Aster CMI Hospital,Bangalore,Metro,88.0,Practo,1200
Dr. Veena Yagna,ENT,18,Cavalier Hospital,Bangalore,Metro,93.0,Practo,900
Dr. Geeta N Shapur,ENT,24,Kauvery Hospitals,Bangalore,Metro,93.0,Practo,800
Dr. Stephen Antony,ENT,32,Divine Speciality Hospital,Bangalore,Metro,62.0,Practo,800
Dr. Nibha Raghu,ENT,16,Cytecare Hospitals,Bangalore,Metro,91.0,Practo,1000
Dr. B G Ravindra Babu,ENT,38,Camry Hospitals,Bangalore,Metro,90.0,Practo,750
Dr. Ravindra Kumar,ENT,43,Trilife Hospital,Bangalore,Metro,82.0,Practo,1000
Dr. Rani George,ENT,29,Koshys Hospital,Bangalore,Metro,87.0,Practo,650
Dr. Yessu Krishna Shetty,ENT,18,Thunga STH Hospital,Mumbai,Metro,97.0,Practo,1000
Dr. Adip K shetty,ENT,18,Apricity ENT Care Center,Mumbai,Metro,95.0,Practo,1500
Dr. Bhavik Shah,ENT,20,SRV,Mumbai,Metro,95.0,Practo,1500
Dr. Nilesh Choradia,ENT,17,Garg Multispeciality Hospital,Mumbai,Metro,100.0,Practo,1200
Dr. Trishna Chitnis,ENT,13,Thunga STH Hospital,Mumbai,Metro,100.0,Practo,1500
Dr. Vikrant Bagwe,ENT,12,Aum Superspeciality Hospital,Mumbai,Metro,88.0,Practo,1000
Dr. Ansari Mohammed Humaam,ENT,13,SRV,Mumbai,Metro,67.0,Practo,1000
Dr. Raveena Shetty,ENT,9,SRV,Mumbai,Metro,95.0,Practo,1000
Dr. Siddhi agrawal,ENT,11,Lifeline Multispeciality Hospital,Mumbai,Metro,6.0,Practo,2000
Dr. Krishna Vora,ENT,32,ENT Health Clinic,Mumbai,Metro,92.0,Practo,1800
Dr. Meghavi Rajeshbhai Modi,ENT,8,Bodyline Hospital,Ahmedabad,Non-Metro,76.0,Practo,600
Dr. Rachana Parikh,ENT,33,Aeshaa Hospital,Ahmedabad,Non-Metro,98.0,Practo,700
Dr. Vinita Bhagia,ENT,39,Apollo Hospital,Ahmedabad,Non-Metro,100.0,Practo,800
Dr. Rohan Amin,ENT,18,Akshar ENT Hospital,Ahmedabad,Non-Metro,100.0,Practo,500
Dr. Hemal Shah,ENT,14,Shalby Hospitals,Ahmedabad,Non-Metro,100.0,Practo,300
Dr. Manish L Ninama,ENT,23,Swaram ENT Hospital,Ahmedabad,Non-Metro,99.0,Practo,800
Dr. Bhaumik Shah,ENT,16,Krishna Shalby Hospital,Ahmedabad,Non-Metro,100.0,Practo,300
Dr. Sanjana Amin,ENT,18,Akshar ENT Clinic,Ahmedabad,Non-Metro,100.0,Practo,500
Dr. Heli Patel,ENT,10,Sattva Orthopedic & ENT Care,Ahmedabad,Non-Metro,95.0,Practo,350
Dr. Navin Patel,ENT,39,ENT Care Associates,Ahmedabad,Non-Metro,100.0,Practo,1000
Dr. Rishi Raj,ENT,25,Chandigarh ENT Clinic,Chandigarh,Non-Metro,75.0,Practo,1100
Dr. Sanjiv Seth,ENT,38,Amcare Hospital,Chandigarh,Non-Metro,100.0,Practo,0
Dr. Raman Abrol,ENT,31,Abrol ENT Institute & Research Centre,Chandigarh,Non-Metro,85.0,Practo,1200
Dr. Shishir Gupta,ENT,19,Dr Gupta Clinic Ent Care Center,Chandigarh,Non-Metro,100.0,Practo,400
Dr. S C Pandhi,ENT,59,Pandhi Hospital,Chandigarh,Non-Metro,67.0,Practo,1000
Dr. Ganesh Dutt Rattan,ENT,41,ENT Endoscopic Centre,Chandigarh,Non-Metro,67.0,Practo,700
Dr. Sukhdev Singh,ENT,38,Dr. Sukhdev's ENT Clinic,Chandigarh,Non-Metro,75.0,Practo,700
Dr. Nitin Mathur,ENT,26,THE E N T CLINIC,Chandigarh,Non-Metro,81.0,Practo,500
Dr. Veneet Pandhi,ENT,29,Pandhi Hospital,Chandigarh,Non-Metro,61.0,Practo,800
Dr. Tamanna Mahajan,ENT,12,Dr. Tamanna's ENT Care Centre,Chandigarh,Non-Metro,100.0,Practo,400
Dr. Avinash Shekhar Jaiswal,ENT,10,Joy Hospital,Patna,Non-Metro,95.0,Practo,500
Dr. Baban Kumar Singh,ENT,13,Care Infinity ENT And Maternity Centre,Patna,Non-Metro,100.0,Practo,500
Dr. Manish Kumar,ENT,18,Panchlok Diagnostic Centre,Patna,Non-Metro,97.0,Practo,500
Dr. Sonu Kumar Singh,ENT,17,Shalya ENT Centre,Patna,Non-Metro,100.0,Practo,350
Dr. Gaurav Ashish,ENT,15,Vellore Ent Centre,Patna,Non-Metro,85.0,Practo,500
Dr. Dhiren Kumar,ENT,34,Urniss ENT Clinic & Research Centre,Patna,Non-Metro,89.0,Practo,300
Dr. Manoranjan  Kumar,ENT,23,Aarogya ENT Clinic ,Patna,Non-Metro,89.0,Practo,500
Dr. Amarnath Prasad,ENT,19,Jeevan ENT And Maternity Hospital,Patna,Non-Metro,100.0,Practo,500
Dr. Abhineet Lall,ENT,18,Pranidhana ,Patna,Non-Metro,82.0,Practo,700
Dr. Sanjay Kumar Shahi,ENT,32,Dr. Sanjay Kumar Shahi Clinic,Patna,Non-Metro,71.0,Practo,500
Dr. Karan Bhatia,ENT,10,Cochlea Advanced Surgical Centre,Lucknow,Non-Metro,99.0,Practo,500
Dr. Shiv Jee Prashant,ENT,15,ENT Vertigo Allergy Clinic,Lucknow,Non-Metro,97.0,Practo,500
Dr. Nitya Singh,ENT,11,Medicare Polyclinic,Lucknow,Non-Metro,86.0,Practo,800
Dr. Sonam Rathi,ENT,16,Max Super Speciality Hospital,Lucknow,Non-Metro,100.0,Practo,700
Dr. Anil Gupta,ENT,12,Anayesha ENT Clinic,Lucknow,Non-Metro,95.0,Practo,500
Dr. Mohit Sinha,ENT,22,Sarvagya Healthcare,Lucknow,Non-Metro,100.0,Practo,700
Dr. Rajat Rastogi,ENT,21,SURYA ENT HOSPITAL AND RESEARCH CENTRE,Lucknow,Non-Metro,99.0,Practo,0
Dr. Rajiv Khanna,ENT,39,Dr Rajiv Khanna Clinic,Lucknow,Non-Metro,78.0,Practo,600
Dr. Zeeshan Ahmad,ENT,15,Zeeshan ENT & Skull Base Clinic,Lucknow,Non-Metro,90.0,Practo,500
Dr. Jaya Gupta,ENT,19,Ear,Lucknow,Non-Metro,100.0,Practo,500
Dr. Pravin Bhosale,ENT,32,Ruby Hall Clinic,Pune,Non-Metro,95.0,Practo,800
Dr. Manoj M.Bauskar,ENT,25,Ruby Hall Clinic,Pune,Non-Metro,90.0,Practo,800
Dr. Rupali Gulavani,ENT,31,Wisdom Super Speciality Hospital,Pune,Non-Metro,82.0,Practo,1000
Dr. P K Bhagat,ENT,43,Pawar Multispeciality Hospital,Pune,Non-Metro,95.0,Practo,1100
Dr. Manohar Suryawanshi,ENT,9,Medicover Hospital,Pune,Non-Metro,95.0,Practo,500
Dr. Sumitpal Bhatti,ENT,36,Dr. Sumitpal Bhatti ENT Clinic,Pune,Non-Metro,82.0,Practo,1500
Dr. Sarang Deshmukh,ENT,27,Elite Speciality Clinic,Pune,Non-Metro,89.0,Practo,1000
Dr. Ajinkya Kelkar,ENT,15,Auricle ENT Care Clinic,Pune,Non-Metro,94.0,Practo,800
Dr. Ajay Kothadiya,ENT,33,Kothadiya Ent Clinic,Pune,Non-Metro,96.0,Practo,700
Dr. Monalisa Debbarman,ENT,18,Apollo Clinic,Pune,Non-Metro,79.0,Practo,750
Dr. SRS Pavan Kumar Kannuru,ENT,15,Medicover Hospitals ,Visakhapatnam,Non-Metro,67.0,Practo,500
Dr. Pradeep Kumar Palakonda,ENT,24,Apollo Health City,Visakhapatnam,Non-Metro,100.0,Practo,800
Dr. Pradeep Kumar P,ENT,19,Apollo Healthcity Hospital,Visakhapatnam,Non-Metro,95.0,Practo,300
Dr. Dannana Naveen Kumar,ENT,22,Apollo Health City,Visakhapatnam,Non-Metro,95.0,Practo,500
Dr. Tummidi Veera Venkata Vinay Kumar,ENT,16,Apollo Clinic,Visakhapatnam,Non-Metro,95.0,Practo,350
Dr. P. Krishnam Raju,ENT,28,Sri Krishna ENT Clinic & Sanhiti Children's Clinic,Visakhapatnam,Non-Metro,99.0,Practo,500
Dr. S Sri Krishna Prakash,ENT,24,Gothi's Doctors chambers,Visakhapatnam,Non-Metro,98.0,Practo,500
Dr. S. Sridhar,ENT,22,Sri SaiRam Eye And ENT Clinic,Visakhapatnam,Non-Metro,100.0,Practo,200
Dr. Pradeep Vundavalli,ENT,15,Asian Super Speciality ENT Hospital,Visakhapatnam,Non-Metro,94.0,Practo,300
Dr. Raju.P.L.N,ENT,27,Dr. Raju Advanced Hair Transplantation and Restoration Centre,Visakhapatnam,Non-Metro,100.0,Practo,500
Dr. P S N Ravindar,General Physician,21,Srikara Hospitals,Hyderabad,Metro,70.0,Practo,800
Dr. K K Reddy Sadu,General Physician,25,K K Reddy Hospital,Hyderabad,Metro,96.0,Practo,800
Dr. Srinivas Jakkinaboina,General Physician,28,Shri Sigma Hospital,Hyderabad,Metro,80.0,Practo,500
Dr. Latha,General Physician,18,Ankura Hospital for Women & Children,Hyderabad,Metro,100.0,Practo,700
Dr. Prashanth Chandra NY,General Physician,18,"CARE Hospitals Outpatient Centre, Banjara Hills",Hyderabad,Metro,86.0,Practo,850
Dr. Ajit Kumar Azad,General Physician,20,Sree Manju Hospitals,Hyderabad,Metro,95.0,Practo,700
Dr. Mithil B Ghushe,General Physician,23,Medicover Hospitals ,Hyderabad,Metro,87.0,Practo,600
Dr. Y Geeta Devi,General Physician,28,Health Valley Hospital,Hyderabad,Metro,90.0,Practo,800
